x	HA1:62E	HA1:214I	HA1:193F	HA1:128T	HA1:260I	HA1:262S	HA2:150G	HA1:189K	HA1:53D	HA1:312S
2005.5	1	1	0.57	1	0.98	1	1	0	0.98	0
2005.67	1	1	0.58	1	0.98	1	1	0	0.97	0
2005.83	0.99	1	0.61	1	0.98	1	1	0	0.98	0
2006	0.99	1	0.67	0.99	0.99	1	1	0	0.98	0
2006.17	0.99	1	0.73	0.98	0.98	1	1	0	0.98	0
2006.33	1	1	0.8	0.96	0.97	1	1	0	0.99	0
2006.5	1	1	0.85	0.94	0.97	1	1	0	0.99	0.01
2006.67	1	1	0.89	0.93	0.98	1	1	0	1	0.01
2006.83	1	1	0.92	0.91	0.99	1	1	0	1	0.01
2007	1	1	0.95	0.89	1	1	1	0	1	0
2007.17	1	1	0.98	0.88	1	1	1	0	1	0
2007.33	1	1	0.98	0.9	1	1	1	0	0.99	0
2007.5	1	1	0.99	0.93	1	1	1	0	0.98	0
2007.67	1	1	0.99	0.96	1	0.99	1	0	0.97	0
2007.83	1	1	1	0.99	1	0.97	1	0	0.96	0
2008	1	1	1	1	1	0.97	1	0	0.96	0
2008.17	1	1	1	1	1	0.97	1	0	0.96	0
2008.33	0.99	1	1	1	1	0.98	1	0.01	0.95	0
2008.5	0.98	1	1	1	1	0.99	1	0.03	0.94	0
2008.67	0.96	1	1	1	0.99	1	1	0.05	0.94	0
2008.83	0.93	1	1	1	0.99	1	1	0.1	0.96	0
2009	0.87	1	1	0.99	0.99	1	1	0.19	0.97	0
2009.17	0.77	0.99	1	0.99	0.99	1	1	0.33	0.98	0
2009.33	0.66	0.98	1	1	0.99	1	1	0.5	0.99	0.01
2009.5	0.59	0.98	1	1	0.99	0.99	1	0.65	0.99	0.03
2009.67	0.58	0.98	1	1	0.98	0.99	1	0.76	0.98	0.05
2009.83	0.61	0.98	1	0.99	0.98	0.98	1	0.83	0.97	0.1
2010	0.66	0.99	0.99	0.98	0.96	0.98	1	0.89	0.94	0.17
2010.17	0.71	1	0.99	0.97	0.93	0.98	1	0.94	0.89	0.26
2010.33	0.76	1	0.98	0.97	0.9	0.98	1	0.97	0.82	0.32
2010.5	0.79	1	0.99	0.97	0.87	0.99	1	0.99	0.73	0.32
2010.67	0.81	1	0.99	0.98	0.84	0.98	0.99	1	0.64	0.29
2010.83	0.82	1	1	0.97	0.83	0.98	0.99	1	0.56	0.26
2011	0.84	1	1	0.97	0.86	0.96	0.99	1	0.51	0.24
2011.17	0.85	1	1	0.97	0.89	0.95	1	0.99	0.52	0.26
2011.33	0.86	1	1	0.98	0.93	0.96	1	0.99	0.58	0.32
2011.5	0.9	1	1	0.98	0.97	0.98	1	1	0.65	0.42
2011.67	0.95	1	1	0.98	0.99	0.98	1	1	0.71	0.53
2011.83	0.98	1	1	0.97	1	0.98	1	1	0.77	0.63
2012	0.99	1	1	0.96	1	0.98	1	1	0.83	0.7
2012.17	1	1	1	0.95	1	0.97	1	1	0.86	0.73
2012.33	1	1	1	0.93	1	0.97	1	1	0.88	0.73
2012.5	1	1	1	0.9	1	0.98	1	1	0.88	0.74
2012.67	1	0.99	1	0.85	0.99	0.98	1	1	0.87	0.77
2012.83	0.99	0.99	1	0.75	0.98	0.98	1	1	0.86	0.84
2013	0.99	0.98	1	0.63	0.97	0.97	1	1	0.88	0.92
2013.17	1	0.98	1	0.5	0.96	0.97	1	1	0.91	0.97
2013.33	1	0.96	1	0.39	0.97	0.97	1	1	0.94	0.99
2013.5	1	0.95	1	0.3	0.98	0.97	1	1	0.95	1
2013.67	1	0.95	1	0.23	1	0.98	1	1	0.95	1
2013.83	0.99	0.96	1	0.19	1	0.99	1	1	0.96	1
2014	0.98	0.96	1	0.19	1	1	1	1	0.97	1
2014.17	0.97	0.97	1	0.21	1	1	1	1	0.98	1
2014.33	0.95	0.97	1	0.24	1	1	1	1	1	1
2014.5	0.93	0.97	1	0.27	1	1	0.99	1	1	1
2014.67	0.91	0.98	1	0.31	1	1	0.99	1	1	0.99
2014.83	0.87	0.99	1	0.37	0.99	1	0.99	1	0.99	0.99
2015	0.83	0.99	1	0.45	0.99	1	1	1	0.99	1
2015.17	0.79	0.99	0.99	0.54	0.99	1	1	1	0.99	1
2015.33	0.79	0.99	0.99	0.63	1	1	1	1	0.99	1
2015.5	0.83	0.98	0.98	0.72	1	1	1	1	0.99	0.99
2015.67	0.89	0.98	0.98	0.79	1	0.99	1	1	0.99	0.98
2015.83	0.93	0.97	0.98	0.81	1	0.99	0.99	1	0.99	0.95
2016	0.96	0.96	0.98	0.8	1	0.99	0.99	1	0.98	0.91
2016.17	0.97	0.96	0.97	0.78	1	0.98	0.98	1	0.98	0.87
2016.33	0.97	0.96	0.96	0.76	1	0.98	0.96	1	0.97	0.83
2016.5	0.97	0.96	0.95	0.75	1	0.97	0.94	1	0.96	0.8
2016.67	0.98	0.98	0.95	0.76	1	0.95	0.91	1	0.95	0.81
2016.83	0.97	0.99	0.94	0.82	1	0.94	0.88	1	0.93	0.86
2017	0.96	1	0.93	0.88	1	0.91	0.85	1	0.92	0.93
2017.17	0.94	1	0.9	0.91	1	0.87	0.84	1	0.9	0.97
2017.33	0.91	1	0.87	0.91	1	0.86	0.84	1	0.9	0.99
2017.5	0.88	1	0.85	0.92	1	0.86	0.84	1	0.9	1
2017.67	0.86	1	0.84	0.93	1	0.86	0.83	1	0.9	1
