"","season","SPECID1","SPECID2","L1_norm","valid","Household"
"1","2010-2011","M54206","M54205",1.6540945139619,TRUE,TRUE
"2","2010-2011","M53523","M54205",214.774624506324,FALSE,FALSE
"3","2010-2011","M54062","M54205",100.780940531051,FALSE,FALSE
"4","2010-2011","M53523","M54206",216.182271396444,FALSE,FALSE
"5","2010-2011","M54062","M54206",102.435035045013,FALSE,FALSE
"6","2010-2011","M54206","M54207",2.064553815309,TRUE,TRUE
"7","2010-2011","M53523","M54207",217.228131812123,FALSE,FALSE
"8","2010-2011","M54062","M54207",103.480895460692,FALSE,FALSE
"9","2010-2011","M53523","M54062",233.849863917549,FALSE,FALSE
"10","2010-2011","M54586","M54585",3.13856751422,TRUE,TRUE
"11","2010-2011","M53769","M54585",348.412227714818,FALSE,FALSE
"12","2010-2011","M54369","M54585",94.0596870289715,FALSE,FALSE
"13","2010-2011","M53302","M54585",100.574539248234,FALSE,FALSE
"14","2010-2011","M54375","M54585",106.327603028062,FALSE,FALSE
"15","2010-2011","M54374","M54585",105.93476719915,FALSE,FALSE
"16","2010-2011","M54053","M54585",107.93476719915,FALSE,FALSE
"17","2010-2011","M54310","M54585",97.9347671991505,FALSE,FALSE
"18","2010-2011","M54181","M54585",92.1620622766498,FALSE,FALSE
"19","2010-2011","M53671","M54585",95.4535892481681,FALSE,FALSE
"20","2010-2011","M53672","M54585",94.0241157260342,FALSE,FALSE
"21","2010-2011","M53769","M54586",347.681260830737,FALSE,FALSE
"22","2010-2011","M54369","M54586",93.3287201448905,FALSE,FALSE
"23","2010-2011","M53302","M54586",99.8435723641531,FALSE,FALSE
"24","2010-2011","M54375","M54586",105.596636143981,FALSE,FALSE
"25","2010-2011","M54374","M54586",105.203800315069,FALSE,FALSE
"26","2010-2011","M54053","M54586",107.20380031507,FALSE,FALSE
"27","2010-2011","M54310","M54586",97.2038003150695,FALSE,FALSE
"28","2010-2011","M54181","M54586",91.4310953925688,FALSE,FALSE
"29","2010-2011","M53671","M54586",94.7226223640871,FALSE,FALSE
"30","2010-2011","M53672","M54586",93.2931488419532,FALSE,FALSE
"31","2010-2011","M53302","M53769",333.117232564751,FALSE,FALSE
"32","2010-2011","M53671","M53769",327.996282564685,FALSE,FALSE
"33","2010-2011","M53672","M53769",326.566809042551,FALSE,FALSE
"34","2010-2011","M54585","M54913",108.608488573783,FALSE,FALSE
"35","2010-2011","M54586","M54913",107.877521689702,FALSE,FALSE
"36","2010-2011","M53769","M54913",337.1511818903,FALSE,FALSE
"37","2010-2011","M54369","M54913",86.7986412044537,FALSE,FALSE
"38","2010-2011","M54659","M54913",90.937191199797,FALSE,FALSE
"39","2010-2011","M54805","M54913",108.931822722993,FALSE,FALSE
"40","2010-2011","M54791","M54913",438.845487745196,FALSE,FALSE
"41","2010-2011","M53302","M54913",101.313493423716,FALSE,FALSE
"42","2010-2011","M54375","M54913",51.0665572035447,FALSE,FALSE
"43","2010-2011","M54374","M54913",50.6737213746327,FALSE,FALSE
"44","2010-2011","M54053","M54913",112.673721374633,FALSE,FALSE
"45","2010-2011","M54580","M54913",106.769424269113,FALSE,FALSE
"46","2010-2011","M54310","M54913",90.6737213746327,FALSE,FALSE
"47","2010-2011","M54181","M54913",36.901016452132,FALSE,FALSE
"48","2010-2011","M54724","M54913",93.4137546412751,FALSE,FALSE
"49","2010-2011","M54726","M54913",94.1147251915757,FALSE,FALSE
"50","2010-2011","M53671","M54913",88.1925434236503,FALSE,FALSE
"51","2010-2011","M53672","M54913",86.7630699015164,FALSE,FALSE
"52","2010-2011","M54585","M55001",348.117399526031,FALSE,FALSE
"53","2010-2011","M54586","M55001",347.38643264195,FALSE,FALSE
"54","2010-2011","M53769","M55001",198.446564767805,FALSE,FALSE
"55","2010-2011","M54913","M55001",336.995980833605,FALSE,FALSE
"56","2010-2011","M54659","M55001",324.661260190795,FALSE,FALSE
"57","2010-2011","M54805","M55001",348.440733675241,FALSE,FALSE
"58","2010-2011","M54791","M55001",398.354398697444,FALSE,FALSE
"59","2010-2011","M53302","M55001",332.822404375964,FALSE,FALSE
"60","2010-2011","M54375","M55001",334.715095287884,FALSE,FALSE
"61","2010-2011","M54374","M55001",334.322259458972,FALSE,FALSE
"62","2010-2011","M54053","M55001",348.182632326881,FALSE,FALSE
"63","2010-2011","M54580","M55001",346.278335221361,FALSE,FALSE
"64","2010-2011","M54310","M55001",330.182632326881,FALSE,FALSE
"65","2010-2011","M54181","M55001",320.549554536471,FALSE,FALSE
"66","2010-2011","M54724","M55001",328.922665593523,FALSE,FALSE
"67","2010-2011","M54726","M55001",330.741628509938,FALSE,FALSE
"68","2010-2011","M53671","M55001",327.701454375898,FALSE,FALSE
"69","2010-2011","M53672","M55001",326.271980853764,FALSE,FALSE
"70","2010-2011","M53769","M54369",326.602380345488,FALSE,FALSE
"71","2010-2011","M53302","M54369",82.7646918789046,FALSE,FALSE
"72","2010-2011","M54053","M54369",78.124919829821,FALSE,FALSE
"73","2010-2011","M54310","M54369",12.124919829821,FALSE,FALSE
"74","2010-2011","M54181","M54369",70.3522149073203,FALSE,FALSE
"75","2010-2011","M53671","M54369",5.6437418788386,FALSE,FALSE
"76","2010-2011","M53672","M54369",4.2142683567047,FALSE,FALSE
"77","2010-2011","M54585","M54659",98.1982370243148,FALSE,FALSE
"78","2010-2011","M54586","M54659",97.4672701402338,FALSE,FALSE
"79","2010-2011","M53769","M54659",328.956088379581,FALSE,FALSE
"80","2010-2011","M54369","M54659",40.3883896549853,FALSE,FALSE
"81","2010-2011","M53302","M54659",86.9032418742479,FALSE,FALSE
"82","2010-2011","M54375","M54659",88.6563056540763,FALSE,FALSE
"83","2010-2011","M54374","M54659",88.2634698251643,FALSE,FALSE
"84","2010-2011","M54053","M54659",82.2634698251643,FALSE,FALSE
"85","2010-2011","M54580","M54659",96.3591727196447,FALSE,FALSE
"86","2010-2011","M54310","M54659",44.2634698251643,FALSE,FALSE
"87","2010-2011","M54181","M54659",74.4907649026636,FALSE,FALSE
"88","2010-2011","M53671","M54659",41.7822918741819,FALSE,FALSE
"89","2010-2011","M53672","M54659",40.352818352048,FALSE,FALSE
"90","2010-2011","M54585","M54805",4.1928685475104,FALSE,FALSE
"91","2010-2011","M54586","M54805",3.4619016634294,FALSE,FALSE
"92","2010-2011","M53769","M54805",348.735561864027,FALSE,FALSE
"93","2010-2011","M54369","M54805",94.3830211781809,FALSE,FALSE
"94","2010-2011","M54659","M54805",98.5215711735242,FALSE,FALSE
"95","2010-2011","M53302","M54805",100.897873397444,FALSE,FALSE
"96","2010-2011","M54375","M54805",106.650937177272,FALSE,FALSE
"97","2010-2011","M54374","M54805",106.25810134836,FALSE,FALSE
"98","2010-2011","M54053","M54805",108.25810134836,FALSE,FALSE
"99","2010-2011","M54580","M54805",2.3538042428403,FALSE,FALSE
"100","2010-2011","M54310","M54805",98.2581013483599,FALSE,FALSE
"101","2010-2011","M54181","M54805",92.4853964258592,FALSE,FALSE
"102","2010-2011","M54724","M54805",100.998134615002,FALSE,FALSE
"103","2010-2011","M54726","M54805",102.817097531417,FALSE,FALSE
"104","2010-2011","M53671","M54805",95.7769233973775,FALSE,FALSE
"105","2010-2011","M53672","M54805",94.3474498752436,FALSE,FALSE
"106","2010-2011","M54585","M54791",440.106533569714,FALSE,FALSE
"107","2010-2011","M54586","M54791",439.375566685633,FALSE,FALSE
"108","2010-2011","M53769","M54791",400.64922688623,FALSE,FALSE
"109","2010-2011","M54369","M54791",424.296686200384,FALSE,FALSE
